[16-5-2014 09:39:48] Loaded CFG file c:\TimetrackerMonitor\config.txt
[16-5-2014 01:58:38] Tracker is counting time.
[16-5-2014 01:58:38] Monitored ON time: 27
[16-5-2014 01:59:38] Tracker is counting time.
[16-5-2014 01:59:38] Monitored ON time: 28
[16-5-2014 02:00:38] Tracker is counting time.
[16-5-2014 02:00:38] Monitored ON time: 29
[16-5-2014 02:00:38] GOTO Pray :)
[16-5-2014 02:01:42] Tracker is counting time.
[16-5-2014 02:01:42] Monitored ON time: 30
[16-5-2014 02:02:42] Tracker is counting time.
[16-5-2014 02:02:42] Monitored ON time: 31
[16-5-2014 02:03:43] Tracker is counting time.
[16-5-2014 02:03:43] Monitored ON time: 32
[16-5-2014 02:04:43] Tracker is counting time.
[16-5-2014 02:04:43] Monitored ON time: 33
[16-5-2014 02:05:43] Tracker is counting time.
[16-5-2014 02:05:44] Monitored ON time: 34
[16-5-2014 02:06:44] Tracker is counting time.
[16-5-2014 02:06:44] Monitored ON time: 35
[16-5-2014 02:07:44] Tracker is counting time.
[16-5-2014 02:07:44] Monitored ON time: 36
[16-5-2014 02:08:45] Tracker is counting time.
[16-5-2014 02:08:45] Monitored ON time: 37
[16-5-2014 02:09:45] Tracker is counting time.
[16-5-2014 02:09:45] Monitored ON time: 38
[16-5-2014 02:10:45] Tracker is counting time.
[16-5-2014 02:10:46] Monitored ON time: 39
[16-5-2014 02:16:56] Loaded CFG file c:\TimetrackerMonitor\config.txt
[16-5-2014 02:16:56] directory separator: \
[16-5-2014 02:16:56] Adding item: Monitor
[16-5-2014 02:16:56] Adding item: Sounds
[16-5-2014 02:16:56] Adding item: TimeTracker
[16-5-2014 02:17:01] Tracker is counting time.
[16-5-2014 02:17:01] Monitored ON time: 0
[16-5-2014 02:18:02] Tracker is counting time.
[16-5-2014 02:18:02] Monitored ON time: 1
[16-5-2014 02:19:02] Tracker is counting time.
[16-5-2014 02:19:02] Monitored ON time: 2
[16-5-2014 02:20:02] Tracker is counting time.
[16-5-2014 02:20:03] Monitored ON time: 3
[16-5-2014 02:21:03] Tracker is counting time.
[16-5-2014 02:21:03] Monitored ON time: 4
[16-5-2014 02:22:10] monitored OFF time: 0
[16-5-2014 02:23:17] monitored OFF time: 1
[16-5-2014 02:24:24] monitored OFF time: 2
[16-5-2014 02:25:31] monitored OFF time: 3
[16-5-2014 02:26:38] monitored OFF time: 4
[16-5-2014 02:27:45] monitored OFF time: 5
[16-5-2014 02:28:52] monitored OFF time: 6
[16-5-2014 02:29:59] monitored OFF time: 7
[16-5-2014 02:31:06] monitored OFF time: 8
[16-5-2014 02:32:13] monitored OFF time: 9
[16-5-2014 02:33:20] monitored OFF time: 10
[16-5-2014 02:34:27] monitored OFF time: 11
[16-5-2014 02:35:35] monitored OFF time: 12
[16-5-2014 02:36:41] monitored OFF time: 13
[16-5-2014 02:37:48] monitored OFF time: 14
[16-5-2014 02:38:55] monitored OFF time: 15
[16-5-2014 02:40:02] monitored OFF time: 16
[16-5-2014 02:41:09] monitored OFF time: 17
[16-5-2014 02:42:16] monitored OFF time: 18
[16-5-2014 02:43:23] monitored OFF time: 19
[16-5-2014 02:44:30] monitored OFF time: 20
[16-5-2014 02:45:37] monitored OFF time: 21
[16-5-2014 02:46:44] monitored OFF time: 22
[16-5-2014 02:47:51] monitored OFF time: 23
[16-5-2014 02:48:58] monitored OFF time: 24
[16-5-2014 02:50:05] monitored OFF time: 25
[16-5-2014 02:51:12] monitored OFF time: 26
[16-5-2014 02:52:19] monitored OFF time: 27
[16-5-2014 02:53:26] monitored OFF time: 28
[16-5-2014 02:54:33] monitored OFF time: 29
[16-5-2014 02:55:40] monitored OFF time: 30
[16-5-2014 02:56:40] Tracker is counting time.
[16-5-2014 02:56:40] Monitored ON time: 0
[16-5-2014 02:57:41] Tracker is counting time.
[16-5-2014 02:57:41] Monitored ON time: 1
[16-5-2014 02:58:41] Tracker is counting time.
[16-5-2014 02:58:41] Monitored ON time: 2
[16-5-2014 02:59:48] monitored OFF time: 0
[16-5-2014 03:00:55] monitored OFF time: 1
[16-5-2014 03:02:02] monitored OFF time: 2
[16-5-2014 03:03:10] monitored OFF time: 3
[16-5-2014 03:04:17] monitored OFF time: 4
[16-5-2014 03:05:24] monitored OFF time: 5
[16-5-2014 03:06:24] Tracker is counting time.
[16-5-2014 03:06:24] Monitored ON time: 0
[16-5-2014 03:07:25] Tracker is counting time.
[16-5-2014 03:07:25] Monitored ON time: 1
[16-5-2014 03:08:25] Tracker is counting time.
[16-5-2014 03:08:25] Monitored ON time: 2
[16-5-2014 03:09:25] Tracker is counting time.
[16-5-2014 03:09:25] Monitored ON time: 3
[16-5-2014 03:10:26] Tracker is counting time.
[16-5-2014 03:10:26] Monitored ON time: 4
[16-5-2014 03:11:26] Tracker is counting time.
[16-5-2014 03:11:26] Monitored ON time: 5
[16-5-2014 03:12:27] Tracker is counting time.
[16-5-2014 03:12:27] Monitored ON time: 6
[16-5-2014 03:13:27] Tracker is counting time.
[16-5-2014 03:13:27] Monitored ON time: 7
[16-5-2014 03:14:27] Tracker is counting time.
[16-5-2014 03:14:27] Monitored ON time: 8
[16-5-2014 03:15:28] Tracker is counting time.
[16-5-2014 03:15:28] Monitored ON time: 9
[16-5-2014 03:16:28] Tracker is counting time.
[16-5-2014 03:16:28] Monitored ON time: 10
[16-5-2014 03:17:29] Tracker is counting time.
[16-5-2014 03:17:29] Monitored ON time: 11
[16-5-2014 03:18:29] Tracker is counting time.
[16-5-2014 03:18:29] Monitored ON time: 12
[16-5-2014 03:19:29] Tracker is counting time.
[16-5-2014 03:19:29] Monitored ON time: 13
[16-5-2014 03:20:30] Tracker is counting time.
[16-5-2014 03:20:30] Monitored ON time: 14
[16-5-2014 03:21:30] Tracker is counting time.
[16-5-2014 03:21:30] Monitored ON time: 15
[16-5-2014 03:22:31] Tracker is counting time.
[16-5-2014 03:22:31] Monitored ON time: 16
[16-5-2014 03:23:31] Tracker is counting time.
[16-5-2014 03:23:31] Monitored ON time: 17
[16-5-2014 03:24:31] Tracker is counting time.
[16-5-2014 03:24:31] Monitored ON time: 18
[16-5-2014 03:25:32] Tracker is counting time.
[16-5-2014 03:25:32] Monitored ON time: 19
[16-5-2014 03:26:32] Tracker is counting time.
